node_id,x,y,data_rate_kbps,energy_cons_jps
1,37.45,42.71,3.65,0.166
2,95.07,81.8,4.47,0.424
3,73.2,86.07,8.66,0.021
4,59.87,0.7,3.85,0.409
5,15.6,51.07,2.53,0.148
6,15.6,41.74,6.01,0.068
7,5.81,22.21,9.43,0.351
8,86.62,11.99,7.26,0.318
9,60.11,33.76,6.13,0.44
10,70.81,94.29,1.87,0.37
11,2.06,32.32,6.54,0.404
12,96.99,51.88,9.91,0.148
13,83.24,70.3,2.26,0.097
14,21.23,36.36,5.66,0.378
15,18.18,97.18,8.9,0.405
16,18.34,96.24,7.67,0.495
17,30.42,25.18,7.27,0.212
18,52.48,49.72,7.32,0.192
19,43.19,30.09,4.24,0.39
20,29.12,28.48,3.64,0.177
21,61.19,3.69,8.28,0.466
22,13.95,60.96,8.29,0.431
23,29.21,50.27,8.8,0.22
24,36.64,5.15,9.22,0.378
25,45.61,27.86,5.6,0.38
26,78.52,90.83,5.51,0.061
27,19.97,23.96,8.18,0.452
28,51.42,14.49,6.85,0.258
29,59.24,48.95,7.32,0.415
30,4.65,98.57,8.16,0.167
31,60.75,24.21,9.01,0.449
32,17.05,67.21,4.04,0.201
33,6.51,76.16,4.38,0.015
34,94.89,23.76,1.85,0.454
35,96.56,72.82,6.2,0.055
36,80.84,36.78,1.32,0.166
37,30.46,63.23,5.19,0.476
38,9.77,63.35,5.88,0.476
39,68.42,53.58,3.58,0.291
40,44.02,9.03,6.32,0.32
41,12.2,83.53,1.27,0.23
42,49.52,32.08,1.34,0.154
43,3.44,18.65,8.4,0.171
44,90.93,4.08,4.24,0.34
45,25.88,59.09,2.14,0.379
46,66.25,67.76,5.7,0.398
47,31.17,1.66,7.93,0.397
48,52.01,51.21,2.94,0.055
49,54.67,22.65,6.61,0.252
50,18.49,64.52,1.77,0.038
51,96.96,17.44,1.47,0.279
52,77.51,69.09,5.78,0.226
53,93.95,38.67,5.87,0.445
54,89.48,93.67,6.74,0.182
55,59.79,13.75,7.53,0.067
56,92.19,34.11,9.78,0.08
57,8.85,11.35,5.65,0.383
58,19.6,92.47,3.91,0.313
59,4.52,87.73,8.16,0.06
60,32.53,25.79,3.44,0.051
61,38.87,66.0,4.95,0.353
62,27.13,81.72,1.71,0.046
63,82.87,55.52,1.23,0.413
64,35.68,52.97,9.66,0.356
65,28.09,24.19,8.52,0.05
66,54.27,9.31,7.26,0.052
67,14.09,89.72,4.68,0.493
68,80.22,90.04,2.56,0.193
69,7.46,63.31,2.41,0.192
70,98.69,33.9,3.25,0.408
71,77.22,34.92,5.94,0.474
72,19.87,72.6,7.43,0.493
73,0.55,89.71,6.94,0.379
74,81.55,88.71,3.52,0.194
75,70.69,77.99,9.59,0.051
76,72.9,64.2,7.64,0.391
77,77.13,8.41,5.99,0.284
78,7.4,16.16,6.51,0.218
79,35.85,89.86,4.78,0.454
80,11.59,60.64,3.23,0.064
81,86.31,0.92,4.2,0.251
82,62.33,10.15,7.82,0.016
83,33.09,66.35,1.13,0.24
84,6.36,0.51,2.04,0.038
85,31.1,16.08,1.41,0.068
86,32.52,54.87,1.37,0.068
87,72.96,69.19,8.7,0.328
88,63.76,65.2,7.33,0.376
89,88.72,22.43,5.27,0.296
90,47.22,71.22,1.88,0.481
91,11.96,23.72,5.42,0.194
92,71.32,32.54,5.26,0.15
93,76.08,74.65,2.56,0.436
94,56.13,64.96,4.9,0.12
95,77.1,84.92,4.59,0.482
96,49.38,65.76,6.54,0.016
97,52.27,56.83,6.72,0.485
98,42.75,9.37,1.41,0.031
99,2.54,36.77,4.37,0.447
100,10.79,26.52,6.63,0.269
101,3.14,24.4,5.53,0.497
102,63.64,97.3,8.71,0.046
103,31.44,39.31,6.93,0.281
104,50.86,89.2,2.47,0.485
105,90.76,63.11,1.64,0.266
106,24.93,79.48,6.78,0.318
107,41.04,50.26,1.24,0.351
108,75.56,57.69,6.27,0.233
109,22.88,49.25,9.46,0.318
110,7.7,19.52,6.18,0.296
111,28.98,72.25,4.49,0.452
112,16.12,28.08,6.79,0.032
113,92.97,2.43,5.12,0.148
114,80.81,64.55,5.91,0.476
115,63.34,17.71,9.47,0.446
116,87.15,94.05,4.47,0.233
117,80.37,95.39,9.65,0.314
118,18.66,91.49,9.15,0.146
119,89.26,37.02,2.76,0.102
120,53.93,1.55,1.62,0.237
121,80.74,92.83,1.91,0.183
122,89.61,42.82,1.16,0.296
123,31.8,96.67,1.85,0.048
124,11.01,96.36,7.15,0.487
125,22.79,85.3,1.64,0.493
